Frame 	Area	Mean	Min	Max	X	Y	Slice
1	0	68	68	68	9.048	16.410	0.021
2	0	158	158	158	9.533	16.303	0.021
3	0	162	162	162	9.904	16.214	0.021
4	0	163	163	163	10.146	16.132	0.021
5	0	180	180	180	10.442	16.139	0.021
6	0	176	176	176	10.588	16.189	0.021
7	0	181	181	181	10.692	16.235	0.021
8	0	179	179	179	10.713	16.267	0.021
9	0	179	179	179	10.659	16.239	0.021
10	0	179	179	179	10.638	16.093	0.021
11	0	180	180	180	10.642	15.950	0.021
12	0	164	164	164	10.752	15.754	0.021
13	0	169	169	169	10.927	15.554	0.021
14	0	169	169	169	11.187	15.369	0.021
15	0	165	165	165	11.497	15.205	0.021
16	0	168	168	168	11.847	15.062	0.021
17	0	169	169	169	12.246	14.998	0.021
18	0	173	173	173	12.645	14.991	0.021
19	0	174	174	174	12.955	15.020	0.021
20	0	173	173	173	13.205	15.091	0.021
21	0	173	173	173	13.351	15.137	0.021
22	0	170	170	170	13.447	15.216	0.021
23	0	171	171	171	13.479	15.248	0.021
24	0	170	170	170	13.454	15.258	0.021
25	0	170	170	170	13.444	15.187	0.021
26	0	170	170	170	13.454	15.127	0.021
27	0	172	172	172	13.508	15.030	0.021
28	0	176	176	176	13.629	14.895	0.021
29	0	174	174	174	13.807	14.763	0.021
30	0	151	151	151	14.061	14.627	0.021
31	0	153	153	153	14.371	14.531	0.021
32	0	168	168	168	14.692	14.510	0.021
33	0	171	171	171	15.091	14.438	0.021
34	0	170	170	170	15.387	14.474	0.021
35	0	163	163	163	15.708	14.520	0.021
36	0	137	137	137	15.946	14.595	0.021
37	0	143	143	143	16.139	14.684	0.021
38	0	168	168	168	16.285	14.784	0.021
39	0	179	179	179	16.389	14.891	0.021
40	0	178	178	178	16.399	14.959	0.021
41	0	173	173	173	16.396	15.016	0.021
42	0	178	178	178	16.381	14.991	0.021
43	0	177	177	177	16.417	14.980	0.021
44	0	177	177	177	16.449	14.966	0.021
45	0	180	180	180	16.531	14.888	0.021
46	0	173	173	173	16.667	14.827	0.021
47	0	158	158	158	16.863	14.745	0.021
48	0	154	154	154	17.069	14.692	0.021
49	0	149	149	149	17.344	14.642	0.021
50	0	154	154	154	17.658	14.627	0.021
51	0	144	144	144	18.000	14.645	0.021
52	0	152	152	152	18.303	14.706	0.021
53	0	144	144	144	18.585	14.791	0.021
54	0	135	135	135	18.863	14.902	0.021
55	0	136	136	136	19.087	15.020	0.021
56	0	136	136	136	19.269	15.162	0.021
57	0	137	137	137	19.376	15.315	0.021
58	0	96	96	96	19.454	15.444	0.021
59	0	98	98	98	19.512	15.572	0.021
60	0	97	97	97	19.515	15.683	0.021
61	0	92	92	92	19.512	15.754	0.021
62	0	96	96	96	19.519	15.815	0.021
63	0	98	98	98	19.519	15.850	0.021
64	0	102	102	102	19.561	15.857	0.021
65	0	111	111	111	19.679	15.843	0.021
66	0	122	122	122	19.822	15.836	0.021
67	0	111	111	111	20.000	15.822	0.021
68	0	110	110	110	20.192	15.825	0.021
69	0	107	107	107	20.456	15.840	0.021
70	0	105	105	105	20.731	15.875	0.021
71	0	108	108	108	21.027	15.922	0.021
72	0	103	103	103	21.330	16.025	0.021
73	0	103	103	103	21.608	16.132	0.021
74	0	97	97	97	21.868	16.246	0.021
