species,logSVL,logSSD,ecomorph
oc,3.629660094,-0.00512,twig
eq,5.049856007,0.08454,crown-giant
co,4.272030391,0.24703,trunk-crown
aln,4.02356438,0.24837,trunk-crown
ol,3.838634774,0.09844,grass-bush
in,3.73289634,0.06137,twig
cu,4.894101478,0.09501,crown-giant
ri,4.539,0.08947,crown-giant
sa,4.043051268,0.28893,trunk-ground
op,3.86673271,0.15963,grass-bush
va,4.286341385,0.14766,twig
li,4.035036781,0.38873,trunk-ground
ga,4.681204872,0.28768,crown-giant
gr,4.112037122,0.39786,trunk-crown
br,3.850147602,0.17106,trunk
di,,0.13801,trunk
kr,3.883623531,0.23478,grass-bush
cr,4.15575319,0.39796,trunk-ground
st,4.308554998,0.15737,trunk-crown
cy,4.203692119,0.26024,trunk-ground
alu,3.564817371,0.08216,grass-bush
lo,4.3,0.13108,trunk
an,3.725693427,0.13547,twig
