order,family,taxon,brain_size,amygdala,hippocampus,neocortex,olfactory_bulb,diet,colony_size,wing_area
1,Pteropodidae,Paranyctimene_raptor,690.6,17.8,62.4,198.3,41.99999996,fruit,4,1.044720219
2,Pteropodidae,Nyctimene_robinsoni,1161.8,33.3,102.7,335.1,81.09999996,fruit,na,1.067578945
3,Pteropodidae,Nyctimene_albiventer,779.0999994,22,68.5,219.1,52.49999995,fruit,2,1.054872571
4,Pteropodidae,Nyctimene_vizcaccia,933.7000004,26.8,73,257,73.19999999,fruit,na,na
5,Pteropodidae,Sphaerias_blanfordi,777.5000005,19.7,68.6,223.8,33.5,fruit,na,na
6,Pteropodidae,Balionycteris_maculata,484.4999996,13,54.7,135,31.2,fruit,14,na
7,Pteropodidae,Chironax_melanocephalus,572.5,14.8,56.9,168.3,35.80000003,fruit,8,na
8,Pteropodidae,Megaerops_ecaudatus,755.8000007,17.4,71.4,246.8,45.50000004,fruit,1,na
9,Pteropodidae,Cynopterus_sphinx,1129.900001,27.2,95,352.2,70.19999998,fruit,25,1.061206741
10,Pteropodidae,Cynopterus_brachyotis,926.7999997,24.6,80.9,287.6,59.60000004,fruit,12,1.046646439
11,Pteropodidae,Cynopterus_horsfieldii,1301.000001,29,110.3,432.3,66.00000007,fruit,12,1.072012872
12,Pteropodidae,Megaloglossus_woermanni,645.0000005,15.6,64.4,190.1,25.29999999,fruit,na,na
13,Pteropodidae,Eidolon_helvum,4018.600001,99.4,258.1,1406,208.7,fruit,1000000,1.224334253
14,Pteropodidae,Myonycteris_torquata,1097.2,24.6,85.7,336.5,56.09999997,fruit,1,na
15,Pteropodidae,Rousettus_aegyptiacus,2112.599998,50.8,145.4,687.4,114.5000001,fruit,9000,1.13710351
16,Pteropodidae,Rousettus_amplexicaudatus,1624.699998,45.5,131.1,469.6,117.1,fruit,800,na
17,Pteropodidae,Casinycteris_argynnis,791.1000009,17.3,72,233.7,28.59999999,fruit,1,na
18,Pteropodidae,Scotonycteris_zenkeri,669.7000001,16.8,73.8,182.5,36.99999999,fruit,1,na
19,Pteropodidae,Hypsignathus_monstrosus,3249.099999,56.9,222.9,1056,136.3000001,fruit,25,1.303166778
20,Pteropodidae,Epomops_franqueti,2077.2,46.5,159.8,614.8,107.8,fruit,3,1.135533628
21,Pteropodidae,Micropteropus_pusillus,779.5000009,23.2,56.9,242.9,37.39999998,fruit,2,1.038484455
22,Pteropodidae,Epomophorus_labiatus,1489.500002,37.2,114.3,460.8,86.89999991,fruit,70,na
23,Pteropodidae,Eonycteris_spelaea,1239.9,32.5,97.7,384,67.00000005,fruit,4000,1.051477539
24,Pteropodidae,Macroglossus_minimus,530.7999998,13,47,155.7,26.9,fruit,3,1.025179705
25,Pteropodidae,Macroglossus_sobrinus,657.7000002,19.5,58.9,186.2,33.20000002,fruit,10,na
26,Pteropodidae,Syconycteris_australis,540.9999999,12.5,48.4,170,29.5,fruit,1,1.029200527
27,Pteropodidae,Notopteris_macdonaldi,1384.999999,39.4,96.6,419.9,62.99999993,fruit,300,1.064143018
28,Pteropodidae,Melonycteris_melanops,1225.7,33.7,79.4,414.2,63.69999995,fruit,na,na
29,Pteropodidae,Melonycteris_woodfordi,965.4999997,23.2,66.8,320,44.60000003,fruit,na,na
30,Pteropodidae,Dobsonia_inermis,2555.3,68,186.5,834.8,145.6,fruit,na,na
31,Pteropodidae,Dobsonia_praedatrix,2836.3,68.8,181.2,933,199.6,fruit,12,na
32,Pteropodidae,Pteropus_neohibernicus,8486.6,139.6,400.4,3676,344.0000003,fruit,1000,na
33,Pteropodidae,Pteropus_hypomelanus,4978.099995,99.8,283.5,1906,219.5000002,fruit,5000,na
34,Pteropodidae,Pteropus_alecto,6617.8,115.9,357.4,2716,238.1999999,fruit,100000,na
35,Pteropodidae,Pteropus_conspicillatus,7848.599999,141.7,394.3,3339,306.1999997,fruit,52200,na
36,Pteropodidae,Pteropus_samoensis,5448.900004,92.8,323.9,2144,214.4,fruit,40,na
37,Pteropodidae,Pteropus_tonganus,5730.199996,108.3,305.7,2237,224.1999999,fruit,7000,1.383566379
38,Pteropodidae,Pteropus_temminckii,4607.4,92.9,277.4,1814,194.3000002,fruit,na,na
39,Pteropodidae,Pteropus_poliocephalus,6762.199994,114.9,358.5,2710,252.8999998,fruit,220000,na
40,Pteropodidae,Pteropus_lylei,5700.700003,102.2,288.2,2386,207.7999999,fruit,na,na
41,Pteropodidae,Pteropus_vampyrus,8500.999997,139.7,443.9,3610,376.4000002,fruit,150000,1.584893192
42,Pteropodidae,Pteropus_mahaganus,4980.099995,106.8,274.5,1915,168.0999998,fruit,na,na
43,Pteropodidae,Pteropus_scapulatus,5074.1,86.7,267.8,2078,177.4999998,fruit,100000,1.294195841
44,Megadermatidae,Cardioderma_cor,631.0999997,24.1,32.3,186.3,8.070000005,insects,80,na
45,Megadermatidae,Lavia_frons,611.3999995,20.4,25.8,171.4,4.35,insects,2,1.050267677
46,Megadermatidae,Macroderma_gigas,1603.399999,50.4,68.9,510.5,21.59999999,insects,800,1.179505581
47,Megadermatidae,Megaderma_lyra,856.199999,30.9,40.6,244.6,18,insects,2000,1.074484117
48,Megadermatidae,Megaderma_spasma,607.5999997,22,31.1,172.9,10.5,insects,30,na
49,Craseonycteris,Craseonycteris_thonglongyai,81.70000009,4.34,4.8,17.5,0.660000001,insects,500,1.008323758
50,Rhinopomatidae,Rhinopoma_hardwickii,260,13.8,16.1,54,6.150000003,insects,1050,1.026597022
51,Rhinopomatidae,Rhinopoma_microphyllum,364.5000003,15.4,25.8,77.5,8.799999997,insects,1000,1.035857465
